amfi_code,scheme_name,CAGR_1Y,CAGR_3Y,CAGR_5Y
119094,Axis Midcap Fund - Regular - Growth,22.26,35.11,24.45
148567,Mirae Asset Large Cap Fund - Regular - Growth,20.36,34.0,26.8
120504,ICICI Pru Bluechip Fund - Direct - Growth,13.06,32.49,20.23
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,53.23,32.44,26.07
120505,ICICI Pru Midcap Fund - Regular - Growth,29.6,31.78,28.38
119551,SBI Bluechip Fund - Regular Plan - Growth,60.44,30.46,22.38
120843,Kotak Flexicap Fund - Regular - Growth,26.66,29.58,26.74
148569,Mirae Asset Tax Saver Fund - Regular - Growth,39.75,29.18,27.63
101206,ABSL Frontline Equity Fund - Regular - Growth,47.92,28.97,20.44
149324,DSP Small Cap Fund - Regular - Growth,65.14,27.0,27.92
149323,DSP Midcap Fund - Regular - Growth,21.48,26.87,25.61
119598,SBI Small Cap Fund - Regular Plan - Growth,82.78,26.67,28.03
102887,UTI Flexi Cap Fund - Regular - Growth,13.58,25.56,14.68
118632,Nippon India Large Cap Fund - Regular - Growth,33.98,22.65,20.88
118633,Nippon India Large Cap Fund - Direct - Growth,25.54,21.09,14.19
119093,Axis Bluechip Fund - Direct - Growth,19.77,20.82,6.92
118635,Nippon India ETF Nifty 50 BeES,22.49,20.01,13.91
102885,UTI Nifty 50 Index Fund - Regular - Growth,20.21,19.67,15.88
125497,HDFC Top 100 Fund - Direct Plan - Growth,28.68,18.43,16.56
120506,ICICI Pru Value Discovery Fund - Regular - Growth,41.82,18.42,14.89
149322,DSP Top 100 Equity Fund - Regular - Growth,18.11,18.04,11.7
120841,Kotak Bluechip Fund - Regular - Growth,16.84,17.27,11.82
119552,SBI Bluechip Fund - Direct Plan - Growth,5.71,16.27,18.71
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.27,14.75,19.57
120503,ICICI Pru Bluechip Fund - Regular - Growth,8.49,13.98,16.36
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.44,11.25,9.88
118634,Nippon India Small Cap Fund - Regular - Growth,15.81,8.01,14.27
120842,Kotak Emerging Equity Fund - Regular - Growth,22.5,7.76,5.87
120507,ICICI Pru Liquid Fund - Regular - Growth,7.43,7.39,6.34
120844,Kotak Liquid Fund - Regular - Growth,7.12,6.7,6.06
101208,ABSL Liquid Fund - Regular - Growth,7.24,6.32,5.71
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.52,5.84,5.16
118636,Nippon India Gilt Securities Fund - Regular - Growth,10.45,4.06,4.66
100025,HDFC Short Term Debt Fund - Regular - Growth,3.7,3.92,3.91
100016,HDFC Top 100 Fund - Regular Plan - Growth,-2.22,1.29,2.32
119092,Axis Bluechip Fund - Regular - Growth,1.61,0.53,5.58
102886,UTI Mid Cap Fund - Regular - Growth,-16.8,-0.77,1.03
119599,SBI Small Cap Fund - Direct Plan - Growth,13.95,-1.34,1.81
101207,ABSL Small Cap Fund - Regular - Growth,-23.99,-4.15,6.95
119095,Axis Small Cap Fund - Regular - Growth,-42.8,-11.71,1.34
