amfi_code,scheme_name,return_3yr_pct,expense_ratio_pct,Return_Rank,Expense_Rank,Sharpe_Rank,Alpha_Rank,Drawdown_Rank,Return_Score,Sharpe_Score,Alpha_Score,Expense_Score,Drawdown_Score,Fund_Score,Overall_Rank
120505,ICICI Pru Midcap Fund - Regular - Growth,18.08,1.36,8.0,14.0,5.0,3.0,25.0,82.5,90.0,95.0,67.5,40.0,80.375,1
120843,Kotak Flexicap Fund - Regular - Growth,15.65,1.45,11.0,19.0,2.0,5.0,13.0,75.0,97.5,90.0,55.00000000000001,70.0,80.125,2
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,16.58,1.38,10.0,15.0,7.0,6.0,20.0,77.5,85.0,87.5,65.0,52.5,77.0,3
119598,SBI Small Cap Fund - Regular Plan - Growth,23.39,1.43,1.0,18.0,14.0,1.0,36.0,100.0,67.5,100.0,57.49999999999999,12.5,76.75,4
148567,Mirae Asset Large Cap Fund - Regular - Growth,14.81,1.46,17.0,20.0,1.0,7.0,8.0,60.0,100.0,85.0,52.5,82.5,76.125,5
149324,DSP Small Cap Fund - Regular - Growth,20.08,1.52,6.0,22.0,13.0,2.0,37.0,87.5,70.0,97.5,47.5,10.0,71.375,6
149323,DSP Midcap Fund - Regular - Growth,17.16,1.61,9.0,30.0,6.0,8.0,22.0,80.0,87.5,82.5,27.500000000000004,47.5,71.25,7
120504,ICICI Pru Bluechip Fund - Direct - Growth,14.41,0.8,20.0,11.0,10.0,13.0,12.0,52.5,77.5,70.0,75.0,72.5,67.625,8
119094,Axis Midcap Fund - Regular - Growth,15.18,1.38,15.0,15.0,11.0,9.0,28.0,65.0,75.0,80.0,65.0,32.5,67.25,9
148569,Mirae Asset Tax Saver Fund - Regular - Growth,13.58,1.6,23.0,29.0,3.0,4.0,21.0,45.0,95.0,92.5,30.0,50.0,65.25,10
118632,Nippon India Large Cap Fund - Regular - Growth,14.0,1.51,21.0,21.0,8.0,11.0,23.0,50.0,82.5,75.0,50.0,45.0,62.625,11
119551,SBI Bluechip Fund - Regular Plan - Growth,12.36,1.54,26.0,24.0,4.0,10.0,17.0,37.5,92.5,77.5,42.5,60.0,62.25,12
101206,ABSL Frontline Equity Fund - Regular - Growth,13.78,1.6,22.0,29.0,9.0,12.0,9.0,47.5,80.0,72.5,30.0,80.0,61.25,13
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,1.52,19.0,22.0,15.0,14.0,19.0,55.00000000000001,65.0,67.5,47.5,55.00000000000001,58.875,14
119552,SBI Bluechip Fund - Direct Plan - Growth,11.3,0.66,34.0,4.0,12.0,15.0,11.0,17.5,72.5,65.0,92.5,75.0,57.75,15
118634,Nippon India Small Cap Fund - Regular - Growth,20.15,1.53,5.0,23.0,26.0,18.0,32.0,90.0,37.5,57.49999999999999,45.0,22.5,56.875,16
125497,HDFC Top 100 Fund - Direct Plan - Growth,13.38,0.92,24.0,13.0,18.0,16.0,18.0,42.5,57.49999999999999,62.5,70.0,57.49999999999999,55.875,17
120506,ICICI Pru Value Discovery Fund - Regular - Growth,14.76,1.41,18.0,16.0,20.0,20.0,27.0,57.49999999999999,52.5,52.5,62.5,35.0,53.75,18
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.29,0.78,14.0,9.0,27.0,26.0,29.0,67.5,35.0,37.5,80.0,30.0,51.5,19
119599,SBI Small Cap Fund - Direct Plan - Growth,23.14,0.72,2.0,5.0,32.0,36.0,40.0,97.5,22.5,12.5,90.0,2.5,51.125,20
101207,ABSL Small Cap Fund - Regular - Growth,22.38,1.53,3.0,23.0,28.0,27.0,38.0,95.0,32.5,35.0,45.0,7.5,51.125,21
118633,Nippon India Large Cap Fund - Direct - Growth,12.33,0.72,27.0,5.0,21.0,22.0,26.0,35.0,50.0,47.5,90.0,37.5,49.75,22
102887,UTI Flexi Cap Fund - Regular - Growth,15.34,1.64,13.0,31.0,22.0,21.0,30.0,70.0,47.5,50.0,25.0,27.500000000000004,49.375,23
120503,ICICI Pru Bluechip Fund - Regular - Growth,11.54,1.42,33.0,17.0,17.0,17.0,14.0,20.0,60.0,60.0,60.0,67.5,48.75,24
102885,UTI Nifty 50 Index Fund - Regular - Growth,12.1,1.57,30.0,27.0,16.0,19.0,7.0,27.500000000000004,62.5,55.00000000000001,35.0,85.0,48.625,25
