amfi_code,mean_return,downside_std,Sortino_Ratio,scheme_name,Sortino_Rank
148567,0.001073675403449081,0.00496176180336231,2.6098498934304954,Mirae Asset Large Cap Fund - Regular - Growth,1.0
120843,0.001081754914045031,0.005307756962987205,2.4638866962899635,Kotak Flexicap Fund - Regular - Growth,2.0
148569,0.0011240540293206527,0.006035360941146635,2.278105574878266,Mirae Asset Tax Saver Fund - Regular - Growth,3.0
119551,0.0009167982325947294,0.004662322519074775,2.2433252071596668,SBI Bluechip Fund - Regular Plan - Growth,4.0
120505,0.0011613203372383767,0.006644217906389937,2.1583840124851834,ICICI Pru Midcap Fund - Regular - Growth,5.0
149323,0.0010551910655344048,0.006290623275584673,2.0118870883942477,DSP Midcap Fund - Regular - Growth,6.0
100033,0.0010798038431409668,0.0066317453574234846,1.9673161098119982,HDFC Mid-Cap Opportunities Fund - Regular - Growth,7.0
118632,0.0008652259973214283,0.004913603353872849,1.9619861600788182,Nippon India Large Cap Fund - Regular - Growth,8.0
101206,0.0008517723174694551,0.004988872229104507,1.8895755988253655,ABSL Frontline Equity Fund - Regular - Growth,9.0
120504,0.0008430464116382315,0.0049474147248476045,1.8774111906093294,ICICI Pru Bluechip Fund - Direct - Growth,10.0
119094,0.0010266978562569042,0.006698140614860291,1.821954595012838,Axis Midcap Fund - Regular - Growth,11.0
119598,0.0012010157369980656,0.008658822087290163,1.728978663545869,SBI Small Cap Fund - Regular Plan - Growth,12.0
119552,0.0007852425930349881,0.004853073632554437,1.7248295059318672,SBI Bluechip Fund - Direct Plan - Growth,13.0
149324,0.0011941715475284602,0.008662513558318123,1.7156995369454515,DSP Small Cap Fund - Regular - Growth,14.0
148568,0.0008250722735460028,0.005320867109909847,1.6920176705240417,Mirae Asset Emerging Bluechip Fund - Regular - Growth,15.0
120507,0.0002676525413793258,9.371594831453477e-05,1.6457951084316687,ICICI Pru Liquid Fund - Regular - Growth,16.0
102885,0.0006741587522893979,0.0044273403804664475,1.4923910800482225,UTI Nifty 50 Index Fund - Regular - Growth,17.0
120503,0.000697595408431375,0.0048750532006294625,1.4316497455929087,ICICI Pru Bluechip Fund - Regular - Growth,18.0
125497,0.0007095223731125696,0.005111216750698938,1.4025434096698255,HDFC Top 100 Fund - Direct Plan - Growth,19.0
118635,0.000600473969875538,0.004535505977167163,1.198899011809889,Nippon India ETF Nifty 50 BeES,20.0
118633,0.0006163137445172902,0.004764848531095039,1.1939649758244089,Nippon India Large Cap Fund - Direct - Growth,21.0
120506,0.0006501094769466271,0.0053669797015180555,1.1599732489718177,ICICI Pru Value Discovery Fund - Regular - Growth,22.0
102887,0.000645340694310669,0.005438927039756837,1.1307102961879465,UTI Flexi Cap Fund - Regular - Growth,23.0
120841,0.0005220152587214266,0.004720378835128478,0.8880897811598815,Kotak Bluechip Fund - Regular - Growth,24.0
149322,0.0005222511308194414,0.005156814593848236,0.8136543371487105,DSP Top 100 Equity Fund - Regular - Growth,25.0
118634,0.0007071093821003067,0.009085263670675543,0.7848311928795061,Nippon India Small Cap Fund - Regular - Growth,26.0
125498,0.00047686346287115325,0.006604164886551493,0.5262372651160487,HDFC Mid-Cap Opportunities Fund - Direct - Growth,27.0
101207,0.0004244528681492361,0.009256244279348352,0.2855764379486828,ABSL Small Cap Fund - Regular - Growth,28.0
119093,0.00032985864437101356,0.00501432363970392,0.2276934244045669,Axis Bluechip Fund - Direct - Growth,29.0
120842,0.0003119045881482731,0.0065706707269520765,0.1303849712543582,Kotak Emerging Equity Fund - Regular - Growth,30.0
119092,0.0002749789297660477,0.004988444007538095,0.05423335592952568,Axis Bluechip Fund - Regular - Growth,31.0
119599,0.00020131692580289563,0.009164983389023317,-0.09806979061719694,SBI Small Cap Fund - Direct Plan - Growth,32.0
119095,0.00018236517391230026,0.00909055180099635,-0.13196753758217405,Axis Small Cap Fund - Regular - Growth,33.0
120844,0.0002561287499929851,0.00010238749481080956,-0.2802809830243915,Kotak Liquid Fund - Regular - Growth,34.0
102886,0.0001098147223397074,0.0066449568040136305,-0.3538563936517286,UTI Mid Cap Fund - Regular - Growth,35.0
100016,0.00014159930699210853,0.005162938941632468,-0.3577024311973443,HDFC Top 100 Fund - Regular Plan - Growth,36.0
119120,0.00022226830595075775,0.0013871707516164363,-0.4081798526554102,SBI Magnum Gilt Fund - Regular Plan - Growth,37.0
118636,0.00020153331311365723,0.0013852792997566497,-0.6463483285009906,Nippon India Gilt Securities Fund - Regular - Growth,38.0
100025,0.00017005379350090052,0.001381769801949378,-1.0096434584540521,HDFC Short Term Debt Fund - Regular - Growth,39.0
101208,0.00024154628565905978,0.00010636276250001051,-2.446219958560834,ABSL Liquid Fund - Regular - Growth,40.0
